Frame,Agent_ID,Pos_X,Pos_Y,Velocity,Status,Min_Neighbor_Dist
44,7,164.43,355.20,2.00,Moving,34.65
44,8,17.70,438.20,2.00,Moving,49.73
44,9,67.31,441.67,2.00,Moving,49.73
44,10,118.64,462.17,2.00,Moving,44.85
44,11,162.85,454.55,2.00,Moving,44.85
45,0,34.56,327.09,2.00,Moving,53.63
45,1,87.43,318.16,2.00,Moving,34.87
45,2,121.59,329.28,1.53,Moving,34.69
45,3,156.59,320.62,1.87,Moving,34.85
45,4,9.43,380.76,2.00,Moving,58.91
45,5,87.43,353.03,2.00,Moving,34.87
45,6,125.03,363.80,2.00,Moving,34.69
45,7,166.13,354.14,2.00,Moving,34.85
45,8,19.61,438.78,2.00,Moving,49.71
45,9,69.19,442.34,2.00,Moving,49.71
45,10,120.54,462.81,2.00,Moving,44.68
45,11,164.61,455.49,2.00,Moving,44.68
46,0,36.52,326.74,2.00,Moving,53.33
46,1,89.05,317.51,1.75,Moving,34.83
46,2,123.20,328.15,1.97,Moving,34.91
46,3,157.85,319.19,1.90,Moving,35.33
46,4,11.31,380.07,2.00,Moving,59.00
46,5,89.31,352.34,2.00,Moving,34.83
46,6,126.81,362.88,2.00,Moving,34.91
46,7,167.82,353.08,2.00,Moving,35.33
46,8,21.53,439.36,2.00,Moving,49.68
46,9,71.08,443.01,2.00,Moving,49.68
46,10,122.43,463.46,2.00,Moving,44.51
46,11,166.38,456.43,2.00,Moving,44.51
47,0,38.49,326.38,2.00,Moving,52.85
47,1,90.44,316.67,1.62,Moving,35.00
47,2,124.74,326.87,2.00,Moving,35.29
47,3,159.46,318.25,1.86,Moving,35.25
47,4,13.19,379.39,2.00,Moving,58.74
47,5,91.19,351.66,2.00,Moving,35.00
